               0          1        2        3        4        5        6        7        8        9        10       11       12      13      14      15      16      17      18      19      20      21      22      23      24      25      26
71         010.00          4        1      NaN        1      NaN      NaN      NaN        1      NaN      NaN        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
72         010.12          1        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
73         010.13          1      NaN      NaN      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
74         010.14          3        1        1      NaN      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
75         010.80          1      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
76         010.83          2        2      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
77         010.85          2      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN       1     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN
78         010.86          2        2      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
79         010.90          5        1        1      NaN      NaN      NaN      NaN        2      NaN      NaN      NaN      NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
80         010.93          3        1      NaN      NaN        1      NaN      NaN      NaN        1      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
